Time,Product Preference
one,Product A
two,Product A
two,Product D
one,Product D
one,Product A
one,Product A
one,Product B
two,Product A
one,Product A
two,Product A
two,Product B
one,Product C
two,Product C
two,Product C
one,Product A
one,Product D
one,Product A
one,Product A
two,Product D
one,Product B
two,Product A
two,Product A
one,Product D
two,Product C
one,Product A
two,Product A
two,Product D
two,Product D
one,Product B
two,Product A
one,Product C
one,Product B
one,Product B
one,Product A
one,Product B
one,Product D
one,Product C
one,Product C
one,Product C
one,Product A
one,Product D
two,Product A
one,Product A
two,Product C
one,Product C
one,Product B
one,Product A
one,Product D
one,Product B
two,Product B
one,Product A
two,Product A
one,Product B
one,Product A
one,Product B
one,Product B
one,Product D
one,Product D
two,Product A
one,Product B
one,Product A
two,Product A
one,Product A
one,Product A
one,Product B
two,Product B
one,Product A
two,Product A
two,Product B
two,Product D
one,Product B
one,Product A
one,Product D
two,Product C
one,Product D
one,Product A
two,Product A
one,Product B
two,Product A
two,Product C
one,Product C
one,Product A
one,Product B
one,Product B
one,Product C
two,Product D
two,Product D
one,Product B
one,Product D
two,Product A
one,Product D
two,Product A
one,Product B
two,Product D
one,Product A
two,Product A
one,Product B
one,Product C
one,Product C
one,Product B
one,Product D
two,Product B
one,Product C
one,Product D
one,Product B
one,Product B
one,Product D
two,Product A
one,Product D
two,Product B
one,Product B
two,Product D
one,Product D
two,Product A
one,Product D
two,Product D
one,Product D
two,Product C
two,Product B
two,Product A
one,Product C
two,Product B
one,Product B
one,Product B
one,Product A
two,Product B
one,Product A
one,Product B
one,Product D
one,Product D
one,Product A
two,Product B
one,Product B
one,Product B
two,Product B
one,Product D
one,Product A
one,Product D
one,Product C
two,Product B
one,Product A
one,Product D
two,Product A
two,Product D
two,Product C
two,Product B
two,Product B
one,Product D
one,Product A
one,Product D
two,Product D
one,Product A
one,Product B
two,Product A
two,Product B
two,Product D
two,Product D
two,Product D
two,Product B
one,Product B
two,Product B
one,Product B
one,Product A
one,Product B
one,Product D
one,Product D
one,Product D
two,Product B
two,Product A
two,Product A
two,Product D
one,Product B
one,Product B
one,Product D
one,Product B
one,Product D
one,Product A
one,Product B
two,Product C
two,Product C
one,Product D
one,Product D
two,Product D
two,Product D
one,Product D
two,Product B
one,Product D
one,Product B
one,Product B
two,Product B
one,Product C
one,Product B
one,Product D
one,Product C
one,Product B
two,Product C
one,Product D
two,Product A
one,Product C
one,Product B
one,Product B
one,Product D
one,Product B
two,Product A
two,Product C
two,Product C
one,Product A
one,Product D
two,Product A
two,Product D
one,Product B
one,Product B
two,Product B
two,Product A
one,Product B
one,Product B
one,Product A
one,Product B
one,Product A
one,Product A
one,Product D
one,Product A
one,Product D
two,Product B
two,Product A
one,Product A
one,Product D
one,Product D
two,Product D
one,Product A
two,Product A
one,Product B
one,Product B
two,Product C
one,Product A
two,Product C
one,Product D
one,Product B
two,Product A
two,Product C
two,Product B
two,Product B
two,Product B
two,Product D
one,Product A
two,Product A
one,Product B
one,Product D
two,Product A
one,Product B
one,Product A
one,Product B
one,Product B
one,Product A
two,Product B
one,Product D
one,Product D
two,Product D
one,Product C
two,Product A
one,Product A
two,Product D
two,Product D
one,Product C
two,Product B
one,Product D
one,Product D
two,Product A
one,Product D
one,Product D
two,Product A
one,Product D
one,Product D
one,Product C
one,Product D
two,Product A
one,Product A
one,Product A
two,Product A
two,Product A
one,Product A
one,Product A
two,Product C
two,Product D
two,Product A
two,Product B
one,Product D
one,Product A
one,Product D
two,Product D
one,Product A
one,Product C
two,Product A
two,Product A
one,Product B
two,Product D
two,Product C
one,Product A
two,Product D
one,Product C
two,Product D
one,Product C
one,Product B
one,Product C
one,Product D
two,Product C
two,Product C
two,Product D
two,Product A
two,Product A
two,Product A
one,Product D
two,Product A
one,Product D
one,Product B
two,Product A
one,Product C
one,Product D
two,Product A
one,Product B
one,Product B
one,Product D
one,Product B
one,Product D
one,Product B
one,Product A
two,Product A
one,Product D
one,Product A
two,Product A
two,Product A
two,Product A
one,Product B
one,Product B
one,Product A
one,Product A
one,Product A
two,Product D
one,Product D
two,Product D
two,Product A
one,Product D
one,Product B
two,Product A
two,Product A
one,Product D
two,Product D
two,Product A
one,Product C
one,Product C
one,Product B
two,Product A
two,Product D
one,Product D
two,Product D
one,Product D
one,Product D
one,Product B
one,Product D
one,Product D
one,Product C
two,Product D
one,Product C
one,Product D
one,Product A
one,Product B
one,Product B
two,Product D
two,Product D
two,Product D
two,Product D
one,Product A
one,Product D
one,Product B
two,Product D
two,Product D
one,Product B
two,Product D
two,Product D
one,Product D
one,Product A
one,Product D
one,Product D
two,Product D
one,Product D
one,Product B
two,Product D
one,Product A
one,Product D
two,Product D
two,Product D
one,Product A
one,Product A
two,Product D
one,Product A
one,Product A
one,Product A
two,Product D
one,Product A
two,Product A
