CCI.ID,sex,breed,coatcolor,birthorder,parity,puptestage,Marker_PerCorrect,Pointing_PerCorrect,OdorControl_PerCorrect
1,F,GLD,Golden,1,4,63,41.67,100,37.5
2,F,LGX,Yellow,5,5,69,100,100,50
3,F,LGX,Yellow,3,1,61,66.67,66.67,37.5
4,F,LGX,Yellow,9,1,61,50,91.67,62.5
5,M,LGX,Yellow,5,3,65,66.67,58.33,62.5
6,M,GLD,Golden,2,4,63,58.33,75,37.5
7,M,LGX,Yellow,6,1,61,91.67,91.67,87.5
8,F,LGX,Yellow,5,4,63,91.67,33.33,50
9,M,LGX,Yellow,6,3,65,75,50,12.5
10,F,LGX,Yellow,4,3,65,83.33,50,62.5
11,F,LGX,Yellow,1,5,69,75,83.33,62.5
12,F,LGX,Yellow,1,3,64,66.67,50,62.5
13,F,LAB,Yellow,5,4,65,66.67,58.33,50
14,M,LAB,Yellow,4,4,65,75,75,37.5
15,F,LAB,Yellow,7,4,65,75,91.67,50
16,M,LAB,Yellow,1,4,65,75,50,50
17,M,LGX,Black,6,2,65,91.67,66.67,75
18,F,LGX,Black,7,2,65,66.67,91.67,62.5
19,M,LGX,Yellow,5,3,64,91.67,100,75
20,M,LGX,Black,5,3,69,100,83.33,50
21,M,LAB,Black,3,3,67,66.67,58.33,37.5
22,F,LAB,Yellow,2,3,63,91.67,75,37.5
23,M,LAB,Yellow,5,3,63,83.33,91.67,62.5
24,F,LGX,Black,2,4,68,41.67,50,50
25,F,LGX,Yellow,2,3,69,100,50,75
26,M,LGX,Black,3,4,68,100,50,50
27,M,LGX,Black,4,3,69,58.33,66.67,25
28,M,LAB,Yellow,2,3,67,91.67,75,87.5
29,F,LAB,Black,1,3,67,66.67,41.67,62.5
30,F,LGX,Yellow,5,5,60,91.67,75,87.5
31,M,LGX,Yellow,1,3,62,58.33,58.33,50
32,F,LGX,Yellow,7,2,70,66.67,83.33,50
33,F,LGX,Yellow,2,3,62,75,50,37.5
34,M,LGX,Black,2,3,68,25,83.33,37.5
35,F,LGX,Black,9,3,68,83.33,50,50
36,M,LGX,Yellow,7,5,60,83.33,41.67,37.5
37,M,LGX,Black,7,3,68,91.67,91.67,50
38,M,LGX,Yellow,1,2,70,75,66.67,50
39,F,LGX,Black,7,3,62,50,75,37.5
42,F,LGX,Yellow,7,5,61,91.67,91.67,37.5
43,M,LGX,Yellow,1,5,67,41.67,75,50
44,F,LGX,Yellow,7,1,71,91.67,58.33,25
46,M,LGX,Yellow,12,1,71,50,58.33,50
47,F,LGX,Yellow,6,5,61,83.33,66.67,37.5
48,F,LGX,Yellow,8,1,71,66.67,66.67,25
49,M,LGX,Yellow,2,1,71,66.67,58.33,37.5
50,F,LGX,Black,5,5,67,100,83.33,50
51,M,LGX,Yellow,2,5,61,66.67,41.67,50
52,F,LGX,Yellow,2,4,60,100,66.67,50
53,F,LGX,Yellow,6,3,70,100,91.67,50
54,F,LGX,Yellow,7,4,60,75,41.67,37.5
55,F,LGX,Yellow,7,3,70,58.33,91.67,37.5
56,F,LAB,Yellow,1,3,63,50,75,25
57,M,LGX,Yellow,1,4,60,100,50,62.5
58,M,LGX,Yellow,3,4,60,66.67,91.67,50
59,F,LAB,Black,6,1,68,91.67,50,62.5
60,F,LGX,Yellow,7,3,66,83.33,75,62.5
61,F,LAB,Black,4,1,63,91.67,83.33,50
62,M,LGX,Black,6,3,66,66.67,50,62.5
63,M,LAB,Black,1,1,68,91.67,91.67,37.5
64,F,LGX,Yellow,4,4,60,50,75,25
65,M,GLD,Golden,5,3,66,41.67,100,62.5
66,M,LAB,Black,8,1,63,75,83.33,75
67,F,LGX,Yellow,5,4,60,66.67,83.33,50
68,M,LAB,Black,9,1,63,25,91.67,62.5
69,F,LAB,Yellow,5,1,68,83.33,91.67,25
70,F,LGX,Yellow,10,3,66,83.33,75,37.5
71,M,LAB,Yellow,2,4,62,100,66.67,50
72,F,LAB,Yellow,4,4,62,91.67,83.33,37.5
73,M,LGX,Yellow,2,1,59,50,83.33,62.5
74,F,LAB,Yellow,8,3,68,75,58.33,25
75,M,LGX,Yellow,1,1,59,91.67,58.33,50
76,F,LGX,Yellow,6,1,59,66.67,58.33,37.5
77,F,LAB,Black,9,3,68,75,41.67,37.5
78,F,LGX,Yellow,4,1,59,66.67,83.33,62.5
79,M,LGX,Black,7,3,56,66.67,50,50
80,F,LGX,Yellow,8,1,66,75,66.67,62.5
81,F,LGX,Black,6,3,56,41.67,66.67,50
82,F,LGX,Yellow,1,3,56,66.67,91.67,37.5
83,M,LGX,Black,2,3,56,83.33,66.67,87.5
84,F,LGX,Yellow,7,1,66,91.67,100,62.5
85,M,LGX,Yellow,10,2,65,41.67,16.67,50
86,M,LGX,Yellow,1,2,68,91.67,83.33,62.5
87,M,LGX,Yellow,9,2,65,50,33.33,62.5
88,F,LGX,Yellow,11,2,65,83.33,50,62.5
89,F,LGX,Yellow,3,4,64,91.67,41.67,50
90,M,LGX,Yellow,9,4,55,66.67,66.67,75
91,M,LGX,Yellow,10,4,55,50,41.67,25
92,F,LGX,Yellow,4,1,65,100,91.67,37.5
93,F,LGX,Yellow,7,1,65,91.67,50,50
94,F,LGX,Yellow,5,4,64,83.33,50,62.5
95,M,LGX,Yellow,5,1,65,100,100,50
96,F,LGX,Yellow,3,2,68,75,33.33,25
97,F,LGX,Yellow,8,4,55,66.67,41.67,62.5
98,F,LGX,Yellow,7,4,55,58.33,91.67,37.5
99,F,LAB,Yellow,1,5,64,75,58.33,50
100,M,LGX,Yellow,8,5,64,83.33,50,62.5
101,F,LGX,Yellow,5,5,64,75,58.33,62.5
102,F,LAB,Yellow,5,3,65,91.67,33.33,75
103,M,LAB,Black,2,5,64,83.33,75,75
104,F,LGX,Yellow,9,2,61,83.33,75,25
105,M,LGX,Black,5,4,64,83.33,66.67,50
106,M,LGX,Yellow,5,2,61,83.33,58.33,62.5
107,F,LGX,Yellow,6,3,70,91.67,91.67,50
108,M,LGX,Yellow,8,4,64,75,83.33,25
109,F,LGX,Yellow,1,4,64,50,58.33,62.5
110,F,LGX,Yellow,6,4,64,75,50,50
111,M,LGX,Yellow,2,3,70,91.67,66.67,25
112,F,LGX,Yellow,2,4,64,91.67,83.33,37.5
113,F,LAB,Yellow,5,2,65,58.33,100,50
114,F,LAB,Yellow,4,2,65,91.67,83.33,37.5
115,F,LAB,Yellow,8,1,62,83.33,100,37.5
116,F,LAB,Yellow,2,2,65,100,75,50
117,M,LAB,Yellow,7,1,62,41.67,83.33,37.5
118,M,LGX,Black,6,3,61,75,50,62.5
119,F,LGX,Black,5,2,64,100,50,50
120,F,LGX,Black,7,3,61,83.33,66.67,62.5
121,F,LGX,Yellow,4,3,61,100,50,25
122,F,LGX,Yellow,7,2,60,58.33,83.33,37.5
123,M,LGX,Yellow,6,2,64,83.33,75,50
124,F,GLD,Golden,1,5,65,100,100,50
125,M,LGX,Yellow,2,2,64,66.67,100,25
126,F,GLD,Golden,3,5,65,66.67,100,50
127,M,LGX,Yellow,9,2,60,83.33,66.67,37.5
128,M,LGX,Yellow,1,5,64,91.67,91.67,37.5
129,F,GLD,Golden,7,5,64,75,66.67,87.5
130,M,LGX,Yellow,3,2,63,83.33,83.33,50
131,F,LGX,Yellow,3,5,66,100,58.33,50
132,M,LGX,Yellow,5,5,66,25,50,50
133,F,LGX,Black,2,5,63,91.67,75,50
134,F,LGX,Yellow,4,5,63,83.33,75,37.5
135,F,LGX,Yellow,5,2,64,41.67,50,25
136,M,LGX,Black,3,5,63,75,100,50
137,F,LGX,Yellow,4,5,66,91.67,83.33,75
138,M,LAB,Yellow,2,4,66,66.67,41.67,50
139,F,LAB,Yellow,1,4,66,58.33,58.33,50
140,M,LAB,Yellow,1,2,61,75,100,75
141,M,LAB,Yellow,7,4,66,100,75,50
142,F,LAB,Yellow,1,4,66,75,75,62.5
143,M,LAB,Yellow,7,2,61,83.33,66.67,62.5
144,F,LAB,Yellow,9,2,61,91.67,100,37.5
145,F,LAB,Yellow,3,4,66,41.67,58.33,37.5
146,F,LGX,Yellow,10,3,62,58.33,58.33,62.5
147,M,LGX,Yellow,7,3,62,91.67,41.67,50
148,M,LGX,Yellow,9,3,62,83.33,50,12.5
149,M,LGX,Yellow,7,1,66,100,83.33,50
150,F,LGX,Yellow,9,1,66,83.33,66.67,37.5
151,F,LGX,Yellow,8,3,62,75,83.33,50
152,F,LGX,Yellow,9,5,70,100,66.67,37.5
153,F,LGX,Yellow,6,3,66,100,91.67,62.5
154,M,LGX,Black,6,5,70,75,50,25
155,F,LGX,Yellow,4,3,66,75,83.33,37.5
156,M,LGX,Yellow,1,3,66,75,41.67,62.5
157,F,LGX,Yellow,6,2,73,58.33,75,37.5
158,M,LGX,Yellow,4,4,68,91.67,75,62.5
159,F,LGX,Black,7,2,73,75,58.33,50
160,M,LGX,Black,8,2,73,58.33,83.33,37.5
161,F,LGX,Yellow,3,4,68,83.33,33.33,25
162,F,LAB,Yellow,6,2,66,91.67,58.33,75
165,M,LAB,Yellow,1,2,66,75,91.67,50
166,F,LGX,Yellow,4,1,69,50,75,50
167,M,LGX,Yellow,9,1,69,91.67,58.33,87.5
168,F,LGX,Yellow,6,5,64,75,66.67,37.5
