Participant,First Visit,One Year Later
1,1,4
2,5,6
3,1,7
4,5,5
5,5,6
6,3,6
7,5,7
8,3,3
9,4,7
10,4,4
11,3,7
12,1,6
13,2,3
14,1,7
15,1,6
16,5,3
17,5,7
18,5,3
19,3,6
20,4,5
21,5,4
22,4,4
23,3,4
24,3,6
25,5,4
26,5,5
27,2,5
28,1,6
29,4,5
30,2,6
31,3,6
32,5,3
33,5,4
34,5,6
35,1,7
36,4,6
37,2,4
38,3,6
39,1,6
40,5,5
41,1,6
42,5,7
43,1,5
44,5,7
45,5,5
46,4,6
47,2,7
48,5,4
49,5,3
50,5,5
51,5,7
52,5,5
53,4,5
54,1,7
55,4,5
56,5,7
57,2,4
58,3,7
59,1,7
60,5,5
61,1,7
62,1,7
63,4,4
64,2,7
65,2,5
66,5,5
67,2,4
68,5,6
69,5,7
70,5,3
71,5,6
72,4,7
73,4,3
74,3,4
75,1,6
76,4,4
77,1,7
78,4,7
79,5,4
80,2,6
81,2,5
82,4,3
83,3,4
84,3,6
85,3,3
86,1,6
87,3,6
88,4,4
89,4,4
90,3,6
91,4,5
92,5,5
93,3,5
94,3,5
95,5,5
96,3,4
97,2,3
98,3,5
99,4,3
100,4,4
101,4,5
102,3,5
103,1,7
104,1,6
105,4,5
106,5,4
107,1,7
108,1,3
109,4,5
110,5,4
111,1,3
112,4,4
113,4,4
114,5,7
115,3,6
116,1,5
117,1,5
118,5,5
119,1,5
120,2,6
121,3,6
122,2,3
123,3,3
124,3,4
125,1,5
126,1,6
127,5,4
128,1,3
129,2,4
130,2,7
131,3,4
132,2,5
133,2,6
134,1,6
135,2,7
136,1,4
137,4,3
138,3,5
139,5,3
140,3,3
141,2,6
142,2,5
143,3,6
144,5,6
145,2,5
146,4,3
147,5,7
148,2,4
149,3,6
150,4,5
151,1,7
152,1,7
153,1,4
154,1,4
155,2,7
156,3,5
157,1,3
158,3,3
159,3,7
160,5,6
161,4,3
162,2,6
163,1,7
164,5,6
165,1,5
166,3,5
167,4,5
168,4,4
169,2,6
170,4,4
171,4,4
172,1,3
173,5,7
174,1,5
175,5,7
176,4,5
177,4,4
178,5,5
179,5,7
180,5,7
181,5,5
182,2,6
183,5,7
184,1,4
185,1,6
186,2,7
187,5,7
188,4,6
189,5,4
190,3,5
191,1,5
192,5,3
193,4,5
194,1,6
195,2,6
196,5,6
197,2,7
198,3,5
199,3,6
200,1,5
201,1,6
202,1,4
203,4,7
204,5,7
205,5,6
206,2,6
207,4,7
208,5,5
209,1,3
210,1,5
211,3,7
212,2,6
213,4,5
214,3,5
215,1,5
216,3,5
217,3,7
218,2,7
219,1,7
220,2,7
221,5,6
222,3,3
223,3,7
224,4,7
225,5,7
226,4,5
227,4,3
228,4,6
229,1,6
230,4,3
231,5,6
232,3,4
233,1,3
234,2,3
235,2,5
236,1,5
237,1,4
238,4,6
239,2,6
240,5,5
241,2,3
242,2,3
243,4,4
244,5,7
245,2,3
246,4,5
247,2,4
248,2,3
249,2,5
250,3,5
